text,label
I am thinking about suicide and feel completely hopeless,1
I want to end everything because I cannot cope,1
I am having thoughts of killing myself right now,1
I feel like I am in danger of hurting myself,1
I don't think I can survive another difficult day,1
I am seriously considering taking my own life tonight,1
"I feel like I want everything to stop, including my life",1
I am thinking about ending my life because I feel alone,1
I feel like I cannot keep going without hurting myself,1
I am having suicidal thoughts again,1
I want to die because I feel like a burden to everyone,1
I am afraid I might not be able to stop myself from self-harm,1
I feel like I have completely lost hope in life,1
I am thinking about suicide because I don't see another option,1
I don't want to live anymore because I feel exhausted by everything,1
I am considering ending my life and I am scared,1
I feel like I cannot continue without ending my life,1
I have been thinking about hurting myself to escape emotional pain,1
I feel like my life is going nowhere and I want to die,1
I am worried I could do something to hurt myself,1
I feel like I want to disappear from the world permanently,1
I am thinking seriously about dying,1
I feel like there is no point in staying alive,1
I am having thoughts about suicide that won't go away,1
I don't feel able to protect myself from self-harm,1
I feel like I want to end my life because I am suffering,1
I am afraid that I will eventually hurt myself,1
I feel like giving up my life,1
I am considering suicide because I feel completely defeated,1
I want to live and find a way through this difficult time,0
I am feeling stressed about my homework,0
I have been worried about my upcoming exams,0
I feel nervous about starting university,0
I am having trouble managing my study schedule,0
I feel overwhelmed by my coursework,0
I am worried about getting good grades,0
I feel anxious before speaking in front of the class,0
I have been feeling tired after studying,0
I am finding it difficult to concentrate on my assignments,0
I feel stressed about my workload,0
I am worried about an upcoming project,0
I have been feeling lonely at university,0
I feel nervous about meeting my new classmates,0
I am having trouble sleeping before exams,0
I feel anxious about my career,0
I am worried about finding a job,0
I feel pressured by my academic responsibilities,0
I am having difficulty relaxing after a long day,0
I feel stressed because I have too many deadlines,0
I am worried about an interview next week,0
I feel nervous about an important meeting,0
I am struggling to balance my personal and academic life,0
I feel frustrated with my current workload,0
I have been feeling emotionally tired,0
I want to learn how to deal with stress,0
I want to improve my ability to manage anxiety,0
I am having trouble falling asleep,0
I wake up several times during the night,0
I feel tired even after sleeping,0
I want to develop a better sleep routine,0
I am worried about a disagreement with my friend,0
I feel sad after an argument with my partner,0
I am having communication problems in my relationship,0
I feel stressed about family expectations,0
I am worried about financial responsibilities,0
I have been feeling anxious about money,0
I feel overwhelmed by things happening at home,0
I am struggling to stay organized,0
I have difficulty completing my daily tasks,0
I feel stressed when plans change unexpectedly,0
I am worried about an upcoming appointment,0
I feel nervous about making a presentation,0
I am uncomfortable talking to unfamiliar people,0
I feel anxious in crowded places,0
I want to become more confident socially,0
I am worried about being judged by others,0
I feel nervous when meeting new people,0
I am having difficulty expressing my feelings,0
I feel frustrated when people misunderstand me,0
I am trying to handle my emotions better,0
I want advice for dealing with pressure,0
I feel overwhelmed by my responsibilities,0
I am having a stressful day at work,0
I feel exhausted after working long hours,0
I am worried about making mistakes at work,0
I feel anxious about talking to my manager,0
I am finding it difficult to maintain work-life balance,0
I feel stressed about an upcoming deadline at work,0
I am worried that I am not performing well enough,0
I want to find healthier ways to relax,0
I want to learn some breathing exercises,0
I am interested in mindfulness techniques,0
I want to reduce the stress I feel every day,0
I am trying to improve my mental wellbeing,0
I want to develop better coping skills,0
I feel low after having a difficult day,0
I am worried about what will happen in the future,0
I feel uncertain about my career path,0
I am stressed about an important decision,0
I have been thinking too much about small problems,0
I find it difficult to stop worrying,0
I feel tense when I have too much to do,0
I am having trouble staying motivated,0
I feel distracted while studying,0
I am finding it hard to focus at work,0
I feel restless when I am under pressure,0
I am trying to establish a regular routine,0
I want to sleep better at night,0
I am having difficulty relaxing before bedtime,0
I feel stressed because of changes in my routine,0
I am worried about an upcoming life change,0
I feel nervous about moving to a new place,0
I am having difficulty adjusting to a new environment,0
I miss my friends and family,0
I feel lonely and would like someone to talk to,0
I am trying to make new friends,0
I feel uncomfortable in social situations,0
I want help managing my social anxiety,0
I am worried about what other people think of me,0
I feel nervous when I have to meet new people,0
I am trying to become more comfortable socially,0
I feel frustrated with myself when I make mistakes,0
I want to stop being so hard on myself,0
I am struggling with perfectionism,0
I worry that my work is never good enough,0
I feel stressed when I cannot meet my own expectations,0
I want to learn how to handle failure better,0
I am trying to build healthier habits,0
I want to take better care of my mental health,0
I am looking for ways to cope with difficult emotions,0
I need some general mental health advice,0
I want to understand why I feel stressed,0
I am looking for ways to calm my mind,0
I want to learn more about managing anxiety,0
I feel worried but I want to find ways to feel better,0
I am having a difficult week but I am trying to cope,0
I want to talk about something that has been bothering me,0
I am looking for healthy ways to handle pressure,0
I want to improve my emotional health,0
